cbsa,cbsaname,stco_code,county,type,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
25420,"Harrisburg, PA",00000,Metro Total,TOTAL,00,Total,actual job density,3557.83154296875,4138.708984375,4080.582275390625,4042.5556640625,4238.15087890625,4136.16064453125,3921.564453125,3846.972900390625,3993.4462890625,3664.721435546875,3842.16455078125,3928.37109375,25420
25420,"Harrisburg, PA",42041,"Cumberland County, Pennsylvania",ES,00,Total,actual job density,3951.89404296875,3775.204833984375,3563.529541015625,3240.5498046875,3877.0556640625,3564.794677734375,3489.2138671875,2979.309326171875,2800.206787109375,2798.315185546875,2873.88671875,2874.3955078125,25420
25420,"Harrisburg, PA",42043,"Dauphin County, Pennsylvania",MS,00,Total,actual job density,3377.19580078125,4614.58251953125,4680.32861328125,4883.94189453125,4724.1025390625,4823.78125,4484.650390625,4720.68212890625,5202.10791015625,4568.65283203125,4892.47265625,5080.1865234375,25420
25420,"Harrisburg, PA",42099,"Perry County, Pennsylvania",EX,00,Total,actual job density,349.03778076171875,361.0315246582031,361.27703857421875,416.8420715332031,364.9302673339844,338.46038818359375,326.38397216796875,299.8410949707031,354.0446472167969,306.656494140625,254.7733917236328,205.9207305908203,25420
25540,"Hartford, CT",00000,Metro Total,TOTAL,00,Total,actual job density,10530.576171875,10223.8759765625,10514.9306640625,10714.580078125,10960.0302734375,10936.3271484375,10538.306640625,11750.453125,11247.1865234375,11379.2998046875,11346.37109375,12471.0458984375,25540
25540,"Hartford, CT",09003,"Hartford County, Connecticut",MS,00,Total,actual job density,12407.7890625,11981.390625,12352.8828125,12603.591796875,12855.53125,12831.728515625,12243.4619140625,13717.0556640625,13125.455078125,13290.212890625,13276.767578125,14581.783203125,25540
25540,"Hartford, CT",09007,"Middlesex County, Connecticut",ES,00,Total,actual job density,1782.628662109375,1819.53564453125,2005.9134521484375,1986.7945556640625,1963.7559814453125,2018.34423828125,2086.765869140625,2218.484619140625,2086.11328125,1986.550537109375,1988.400390625,2032.33837890625,25540
25540,"Hartford, CT",09013,"Tolland County, Connecticut",ES,00,Total,actual job density,646.94952392578125,681.4061279296875,660.83428955078125,665.2125244140625,676.204345703125,646.7647705078125,631.94183349609375,594.8448486328125,542.77142333984375,573.28363037109375,597.4959716796875,544.71502685546875,25540
26420,"Houston, TX",00000,Metro Total,TOTAL,00,Total,actual job density,10868.388671875,10423.0947265625,10705.83984375,11046.4599609375,11018.4228515625,11418.48046875,11896.1767578125,11448.916015625,10749.8330078125,10846.5927734375,11895.3916015625,12556.1552734375,26420
26420,"Houston, TX",48015,"Austin County, Texas",EX,00,Total,actual job density,156.5240478515625,131.9620819091797,132.1090087890625,1265.6295166015625,1621.1424560546875,126.55278015136719,417.97344970703125,307.3225402832031,276.18951416015625,192.07839965820312,120.22649383544922,124.23302459716797,26420
