cbsa_code,rank_year_range,count,prosperity_rank,growth_rank,inclusion_rank,racial_inclusion_rank,value_year,average_annual_wage,output_per_job,output_per_person,employment_at_firms_0_5_years_old,jobs,real_gdp,employment_to_population_ratio,median_income,relative_income_poverty,gap_in_employment_to_population_ratio,gap_in_median_income,gap_in_relative_income_poverty
42700,NA,NA,NA,NA,NA,NA,2017,33173.3172679374,75723.8121269144,21825.6821618823,3459,29653.705945198,2245491657.86094,0.5857125,23243,0.222077,0.0871707,5024.941,0.0722042
42740,NA,NA,NA,NA,NA,NA,2017,33644.261274701,75699.0511677876,35870.5844180632,NA,20166.4394482337,1526580331.66393,NA,NA,NA,NA,NA,NA
42780,NA,NA,NA,NA,NA,NA,2017,35693.7070128131,89124.7902032741,38920.3039733434,NA,17817.571506138,1587987322.41638,NA,NA,NA,NA,NA,NA
42820,NA,NA,NA,NA,NA,NA,2017,35808.8878816202,84325.6872733839,29040.3050626863,NA,13504.966278439,1138815563.03324,NA,NA,NA,NA,NA,NA
42860,NA,NA,NA,NA,NA,NA,2017,45670.423908091,141706.736540807,44821.4594950752,NA,24440.293099172,3463354175.18446,NA,NA,NA,NA,NA,NA
42900,NA,NA,NA,NA,NA,NA,2017,42008.1169363049,117025.860512815,43470.6541671646,NA,12814.6942982284,1499650627.45885,NA,NA,NA,NA,NA,NA
42940,NA,NA,NA,NA,NA,NA,2017,30112.379679953,80173.0355226478,38827.7135621242,NA,47285.9767883899,3791060296.77868,NA,NA,NA,NA,NA,NA
42980,NA,NA,NA,NA,NA,NA,2017,42946.9315749234,94512.0138008126,47132.8573011186,NA,21884.818941235,2068378309.80229,NA,NA,NA,NA,NA,NA
43020,NA,NA,NA,NA,NA,NA,2017,32457.9034058352,83362.0592640227,28092.1812762888,NA,15349.8950053793,1279598857.13495,NA,NA,NA,NA,NA,NA
43060,NA,NA,NA,NA,NA,NA,2017,33407.9767001301,88740.1208217039,29643.4215025494,NA,24126.9196122109,2141025761.44313,NA,NA,NA,NA,NA,NA
43100,NA,NA,NA,NA,NA,NA,2017,46192.2003979827,105707.272256709,58034.4798675645,4292,63325.151646977,6693929045.84436,0.8342502,32053.8,0.2336911,0.0755565,10180.75,0.1084978
43140,NA,NA,NA,NA,NA,NA,2017,38020.2366998843,91709.2943132071,34648.5562681063,NA,36773.618214552,3372482575.79986,NA,NA,NA,NA,NA,NA
43180,NA,NA,NA,NA,NA,NA,2017,38330.6862279928,96589.8009251227,35691.2236622008,NA,17779.8752301542,1717354608.95411,NA,NA,NA,NA,NA,NA
43220,NA,NA,NA,NA,NA,NA,2017,39786.7170736102,98108.6003644285,22309.0481886187,NA,14487.103626159,1421309460.0969,NA,NA,NA,NA,NA,NA
43260,NA,NA,NA,NA,NA,NA,2017,39966.4595196618,106506.676496526,49922.6511363721,NA,14160.269951518,1508163290.8298,NA,NA,NA,NA,NA,NA
43300,NA,NA,NA,NA,NA,NA,2017,41664.7993915395,100937.490699871,36985.0392900636,5991,48051.700303514,4850218052.49894,0.73701970000000006,32138.69,0.2726308,0.110447,9983.041,0.1049669
43320,NA,NA,NA,NA,NA,NA,2017,39535.0974247349,110030.771813728,28948.8666594263,NA,28666.096436042,3154152715.74446,NA,NA,NA,NA,NA,NA
43340,NA,NA,NA,NA,NA,NA,2017,42030.5696948546,109668.428372858,46598.7765148097,14107,187355.090520198,20546938325.0046,0.671719,26842.54,0.2401692,0.0759465,10938.92,0.1158859
43380,NA,NA,NA,NA,NA,NA,2017,49238.1073589176,120771.543019306,68536.3861718541,NA,27670.1412419582,3341765653.35343,NA,NA,NA,NA,NA,NA
43420,NA,NA,NA,NA,NA,NA,2017,46355.1671417857,111795.869818662,34632.7713717524,2607,38647.63548298,4320646025.25435,0.6481102,26895.94,0.2385196,0.0334353,13427.84,0.0245705
43460,NA,NA,NA,NA,NA,NA,2017,36322.1575810251,83692.0297672995,34887.3628396032,NA,16065.9725297583,1344593851.20115,NA,NA,NA,NA,NA,NA
43500,NA,NA,NA,NA,NA,NA,2017,38428.9033869318,130595.246807966,44672.1168940899,NA,9470.765059814,1236836900.44667,NA,NA,NA,NA,NA,NA
43580,NA,NA,NA,NA,NA,NA,2017,42506.2412543633,105975.13594532,56650.8731858794,NA,90137.718151033,9552356934.85662,0.7924657,35027.55,0.2684824,0.0444353,6076.785,0.0271129
43620,NA,NA,NA,NA,NA,NA,2017,46569.0030852409,116881.689576022,70771.9156239903,NA,156881.533567802,18336578706.6821,0.8344761,34814.43,0.2639411,0.048974,8239.535,0.1532179
43660,NA,NA,NA,NA,NA,NA,2017,50373.7128918459,152759.720929971,62432.025568962,NA,6968.2376314289,1064466035.9508,NA,NA,NA,NA,NA,NA
43700,NA,NA,NA,NA,NA,NA,2017,34787.8410500627,79514.3333870853,31698.1696286705,NA,25692.4160384145,2042915334.39819,NA,NA,NA,NA,NA,NA
43740,NA,NA,NA,NA,NA,NA,2017,37773.266657303,107100.108878415,36057.4491501313,NA,25082.2902727723,2686316019.13393,NA,NA,NA,NA,NA,NA
43760,NA,NA,NA,NA,NA,NA,2017,42369.7390345428,108408.034396357,35816.0730487798,NA,17922.567654409,1942950330.75021,NA,NA,NA,NA,NA,NA
43780,NA,NA,NA,NA,NA,NA,2017,41615.6535334249,99291.6956784497,44156.0871246844,8652,143114.598667434,14210091178.0303,0.7353278,29980.96,0.3104118,0.1559985,9182.426,0.1100796
