cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
14500,53413,78013,149378,139665,141139,280804,white non-hispanic
14500,513,1065,1159,1153,1584,2737,black
14500,2772,4940,6593,7562,6743,14305,asian
14500,14975,13029,15554,21654,21904,43558,latino
14540,30455,38406,76400,74073,71188,145261,white non-hispanic
14540,3140,4248,4788,6000,6176,12176,black
14540,1484,1245,1476,2213,1992,4205,asian
14540,2864,2151,2203,3363,3855,7218,latino
14580,19013,30119,46213,45990,49355,95345,white non-hispanic
14580,65,147,106,145,173,318,black
14580,138,703,476,793,524,1317,asian
14580,1065,1061,1213,1626,1713,3339,latino
14620,8035,7959,23804,19808,19990,39798,white non-hispanic
14620,51,495,565,63,1048,1111,black
14620,0,103,80,114,69,183,asian
14620,178,315,390,181,702,883,latino
14660,17342,14305,53722,42560,42809,85369,white non-hispanic
14660,142,282,97,255,266,521,black
14660,111,167,181,275,184,459,asian
14660,602,343,543,716,772,1488,latino
14700,15548,14633,50480,41494,39167,80661,white non-hispanic
14700,104,204,290,176,422,598,black
14700,73,106,318,271,226,497,asian
14700,1356,1043,1282,1913,1768,3681,latino
14720,4035,7396,15344,12323,14452,26775,white non-hispanic
14720,29,1,253,33,250,283,black
14720,98,0,34,81,51,132,asian
14720,1395,1061,1702,1984,2174,4158,latino
14740,40263,48290,122861,102855,108559,211414,white non-hispanic
14740,1277,2489,2725,2575,3916,6491,black
14740,1861,2735,7914,7543,4967,12510,asian
14740,6122,6872,5960,8811,10143,18954,latino
14780,5526,5196,16295,13601,13416,27017,white non-hispanic
14780,1431,1666,2814,2894,3017,5911,black
14780,123,181,323,342,285,627,asian
14780,2089,1390,1893,2519,2853,5372,latino
14820,4353,4927,20864,15809,14335,30144,white non-hispanic
14820,295,463,605,660,703,1363,black
14820,0,138,94,164,68,232,asian
14820,360,382,318,497,563,1060,latino
14860,149253,127322,419711,357083,339203,696286,white non-hispanic
14860,26619,27539,53147,57748,49557,107305,black
14860,10645,13001,25316,25571,23391,48962,asian
14860,53752,48988,77639,88967,91412,180379,latino
15020,5510,4588,13469,12094,11473,23567,white non-hispanic
15020,2843,2472,5326,5779,4862,10641,black
15020,83,54,117,138,116,254,asian
15020,133,140,96,165,204,369,latino
15060,2803,2556,15140,10478,10021,20499,white non-hispanic
15060,0,0,74,56,18,74,black
15060,0,27,94,83,38,121,asian
15060,505,221,789,785,730,1515,latino
15100,6092,12413,12736,15435,15806,31241,white non-hispanic
15100,146,331,56,209,324,533,black
15100,242,453,287,429,553,982,asian
15100,334,364,178,482,394,876,latino
15140,1640,1423,5093,4233,3923,8156,white non-hispanic
15140,2178,1888,4907,4891,4082,8973,black
15140,0,15,0,15,0,15,asian
15140,287,277,204,403,365,768,latino
15180,125523,90336,178940,203218,191581,394799,white non-hispanic
15180,567,592,827,827,1159,1986,black
15180,594,583,1665,1376,1466,2842,asian
15180,124572,89568,161116,194490,180766,375256,latino
15220,7678,7061,19925,17596,17068,34664,white non-hispanic
15220,477,456,563,602,894,1496,black
15220,27,101,122,111,139,250,asian
15220,2700,2241,3178,4000,4119,8119,latino
15260,16376,14890,51199,42831,39634,82465,white non-hispanic
15260,7388,6503,13321,14744,12468,27212,black
15260,203,384,616,650,553,1203,asian
15260,2237,1780,2192,3009,3200,6209,latino
15340,8783,7557,24576,20993,19923,40916,white non-hispanic
15340,94,102,171,137,230,367,black
15340,60,44,69,75,98,173,asian
15340,246,184,221,286,365,651,latino
15380,165313,195559,546879,465379,442372,907751,white non-hispanic
15380,37726,37691,64001,74481,64937,139418,black
15380,8495,12929,12641,17173,16892,34065,asian
15380,19180,16169,18548,27388,26509,53897,latino
15420,12752,8490,20157,20383,21016,41399,white non-hispanic
15420,28,18,29,31,44,75,black
15420,66,0,150,142,74,216,asian
15420,5167,3504,4695,6323,7043,13366,latino
15460,8756,7737,26343,21960,20876,42836,white non-hispanic
15460,1011,608,805,1134,1290,2424,black
15460,44,118,139,162,139,301,asian
15460,522,341,412,600,675,1275,latino
15500,22194,23430,65605,58355,52874,111229,white non-hispanic
15500,7085,6826,16061,16332,13640,29972,black
15500,599,671,1108,1228,1150,2378,asian
15500,8023,5014,6416,9539,9914,19453,latino
15540,36730,53286,109274,101325,97965,199290,white non-hispanic
15540,1505,1619,1399,1935,2588,4523,black
15540,1363,2438,2530,3303,3028,6331,asian
15540,1123,1797,1447,2307,2060,4367,latino
15580,6500,7441,18638,16165,16414,32579,white non-hispanic
15580,20,156,9,97,88,185,black
15580,14,240,33,265,22,287,asian
