year,stco_code,frominstate_edu_baplus,frominstate_total,fromdiffstate_edu_baplus,fromdiffstate_total,fromabroad_edu_baplus,fromabroad_total,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus
2009,08101,432,3352,430,1924,50,338,480,2262,0.022339637548763,0.212201591511936
2009,08103,75,110,17,113,4,19,21,132,0.0334431213579934,0.159090909090909
2009,08105,22,255,20,185,17,23,37,208,0.0271753331591325,0.177884615384615
2009,08107,267,575,195,539,32,121,227,660,0.0418463099163074,0.343939393939394
2009,08109,22,238,12,50,25,93,37,143,0.0317073170731707,0.258741258741259
2009,08111,0,6,0,0,0,0,0,0,0,NA
2009,08113,75,102,291,510,5,67,296,577,0.104680696661829,0.512998266897747
2009,08115,6,82,4,19,0,0,4,19,0.0108695652173913,0.210526315789474
2009,08117,399,621,580,836,0,92,580,928,0.0505391569545801,0.625
2009,08119,175,689,180,564,19,151,199,715,0.04576,0.278321678321678
2009,08121,6,141,0,64,0,63,0,127,0.0391491985203453,0
2009,08123,1933,6314,1405,3670,37,294,1442,3964,0.0265471909134136,0.363773965691221
2009,08125,10,199,22,74,0,44,22,118,0.0186002522068096,0.186440677966102
2009,09001,1772,3850,9283,14368,2279,4614,11562,18982,0.0320351843601064,0.609103361078917
2009,09003,2801,9254,4951,9836,751,2411,5702,12247,0.020742439434177,0.465583408181595
2009,09005,1000,2935,726,1548,80,294,806,1842,0.0139692555039018,0.43756786102063
2009,09007,1119,3283,1089,2012,257,504,1346,2516,0.0219343364776036,0.534976152623211
2009,09009,3152,8886,4655,9083,1623,3176,6278,12259,0.0216515893845572,0.512113549229138
2009,09011,840,4250,1700,4857,360,1122,2060,5979,0.0333623489236332,0.344539220605452
2009,09013,735,3588,685,1474,221,304,906,1778,0.019492835451087,0.509561304836895
2009,09015,510,2441,449,1628,84,156,533,1784,0.0228612435286278,0.298766816143498
2009,10001,292,1428,664,2996,88,395,752,3391,0.0351180613090307,0.2217634915954
2009,10003,332,1671,6031,13661,952,2140,6983,15801,0.0453654124976673,0.441934054806658
2009,10005,218,1309,1769,5314,83,483,1852,5797,0.0438425992452145,0.319475590822839
2009,11001,0,0,17435,26440,3743,5148,21178,31588,0.0780831703922698,0.670444472584526
2009,12001,1609,5071,1741,2909,581,857,2322,3766,0.0296502747728597,0.616569304301646
2009,12003,82,1053,0,85,0,25,0,110,0.0067842605156038,0
2009,12005,304,2400,1314,5325,169,876,1483,6201,0.0561003854017768,0.239154975004032
2009,12007,59,1848,6,205,0,0,6,205,0.0102705410821643,0.0292682926829268
2009,12009,1846,7430,2943,10714,589,1499,3532,12213,0.0320531831411752,0.289200032751986
2009,12011,9165,31836,8986,25531,4853,13363,13839,38894,0.0322882180463362,0.3558132359747
2009,12013,54,1338,22,69,0,8,22,77,0.00822737471952132,0.285714285714286
2009,12015,864,4198,1224,4278,79,256,1303,4534,0.0365955042576375,0.287384208204676
2009,12017,495,3167,744,3448,15,237,759,3685,0.0342166839994057,0.205970149253731
2009,12019,1090,5314,1096,3236,195,616,1291,3852,0.0332217890778625,0.33515057113188
2009,12021,1075,4057,3265,7299,678,2387,3943,9686,0.0426995119929819,0.407082386950237
2009,12023,320,3204,159,1122,8,46,167,1168,0.0259942581176418,0.142979452054795
2009,12027,22,1011,61,543,24,281,85,824,0.0353997508269966,0.103155339805825
