"","cbsa_name","cbsa_size","i5hgc_density","cbsa_code"
"442","Warsaw, IN","Micro",25.9,"47700"
"443","Washington-Arlington-Alexandria, DC-VA-MD-WV","Large",328.5,"47900"
"444","Waterloo-Cedar Falls, IA","Small",59.9,"47940"
"445","Watertown-Fort Drum, NY","Small",33.7,"48060"
"446","Wausau, WI","Small",15,"48140"
"447","Wenatchee, WA","Small",44.6,"48300"
"448","West Point, MS","Micro",49.2,"48500"
"449","Wheeling, WV-OH","Small",6.7,"48540"
"450","Whitewater-Elkhorn, WI","Micro",19.6,"48580"
"451","Wichita, KS","Medium",57.3,"48620"
"452","Wichita Falls, TX","Small",6.6,"48660"
"453","Williamsport, PA","Small",8.6,"48700"
"454","Wilmington, NC","Medium",128.2,"48900"
"455","Winchester, VA-WV","Small",46.6,"49020"
"456","Winona, MN","Micro",38.9,"49100"
"457","Winston-Salem, NC","Medium",42.3,"49180"
"458","Woodward, OK","Micro",48.9,"49260"
"459","Wooster, OH","Micro",26.1,"49300"
"460","Worcester, MA-CT","Medium",31.7,"49340"
"461","Yakima, WA","Small",20.6,"49420"
"462","York-Hanover, PA","Medium",4.6,"49620"
"463","Youngstown-Warren-Boardman, OH-PA","Medium",15.9,"49660"
"464","Yuma, AZ","Small",26.1,"49740"
