"Appendix Table 1: Average price-income ratios in U.S. metro areas, 2012-16",,,,,,,,,,
Note: Figures include only tracts where at least 10% of homes are owner-occupied,,,,,,,,,,
Source: Brookings Institution analysis of 2012-16 American Community Survey data,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,% of tracts where the price-income ratio is…,,
CBSA,Metro Name,# Tracts,# Households,Average price,Average income,Average price-income rato,Map category,Under 10th percentile,Between 10th-90th percentile,Above the 90th percentile
29540,"Lancaster, PA",98,"196,171",184935,59194,3.17,Normal range,0.01,0.98,0.01
29620,"Lansing-East Lansing, MI",117,"177,844",129935,54040,2.44,Normal range,0.18,0.82,0.00
29700,"Laredo, TX",60,"71,092",104915,37553,2.97,Normal range,0.05,0.95,0.00
29740,"Las Cruces, NM",39,"74,166",134192,38845,3.46,Normal range,0.00,1.00,0.00
29820,"Las Vegas-Henderson-Paradise, NV",465,"706,363",189144,57061,3.28,Normal range,0.03,0.96,0.01
29940,"Lawrence, KS",21,"44,046",188562,54058,3.83,Normal range,0.00,0.90,0.10
30020,"Lawton, OK",31,"43,796",106352,45966,2.34,Low,0.26,0.74,0.00
30140,"Lebanon, PA",31,"52,247",157048,56354,2.77,Normal range,0.00,1.00,0.00
30300,"Lewiston, ID-WA",16,"25,424",168250,49124,3.5,Normal range,0.00,1.00,0.00
30340,"Lewiston-Auburn, ME",27,"43,979",144141,48573,3.23,Normal range,0.00,0.96,0.04
30460,"Lexington-Fayette, KY",125,"191,480",184745,58687,3.32,Normal range,0.02,0.95,0.03
30620,"Lima, OH",33,"40,039",93806,44257,2.11,Low,0.30,0.70,0.00
30700,"Lincoln, NE",72,"122,324",164921,60814,2.9,Normal range,0.03,0.96,0.01
30780,"Little Rock-North Little Rock-Conway, AR",161,"276,975",139426,51047,2.8,Normal range,0.06,0.93,0.01
30860,"Logan, UT-ID",26,"39,754",191508,55419,3.61,Normal range,0.00,1.00,0.00
30980,"Longview, TX",44,"77,182",111250,47256,2.39,Normal range,0.25,0.75,0.00
31020,"Longview, WA",24,"39,671",163350,47919,3.55,Normal range,0.08,0.88,0.04
31080,"Los Angeles-Long Beach-Anaheim, CA",2671,"4,000,000",531387,69734,7.92,Very high,0.00,0.34,0.66
31140,"Louisville/Jefferson County, KY-IN",298,"488,806",157713,55743,2.83,Normal range,0.04,0.95,0.01
31180,"Lubbock, TX",69,"109,013",114925,50400,2.28,Low,0.36,0.64,0.00
31340,"Lynchburg, VA",57,"99,136",158163,48862,3.24,Normal range,0.02,0.96,0.02
31420,"Macon, GA",59,"84,104",111212,39863,2.94,Normal range,0.10,0.86,0.03
31460,"Madera, CA",23,"43,574",199922,47224,4.25,Normal range,0.00,0.91,0.09
31540,"Madison, WI",123,"250,760",233064,67469,3.58,Normal range,0.00,0.96,0.04
31700,"Manchester-Nashua, NH",82,"152,665",238184,75463,3.39,Normal range,0.02,0.95,0.02
31740,"Manhattan, KS",16,"33,276",175794,50483,3.96,Normal range,0.00,0.81,0.19
31860,"Mankato-North Mankato, MN",23,"37,640",167326,55724,3.13,Normal range,0.00,1.00,0.00
31900,"Mansfield, OH",30,"47,935",91247,41959,2.13,Low,0.27,0.73,0.00
32580,"McAllen-Edinburg-Mission, TX",112,"227,477",84465,36182,2.35,Low,0.28,0.72,0.00
32780,"Medford, OR",41,"83,969",234912,46243,5.18,High,0.02,0.80,0.17
32820,"Memphis, TN-MS-AR",298,"485,368",127419,48999,2.63,Normal range,0.15,0.84,0.01
32900,"Merced, CA",48,"77,273",187896,45500,4.24,Normal range,0.00,0.88,0.13
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1164,"2,000,000",249547,56979,4.34,High,0.04,0.83,0.12
33140,"Michigan City-La Porte, IN",28,"43,052",134371,49362,2.73,Normal range,0.07,0.93,0.00
33220,"Midland, MI",19,"33,757",126021,56069,2.27,Low,0.11,0.89,0.00
33260,"Midland, TX",28,"55,589",174121,72796,2.32,Low,0.36,0.64,0.00
33340,"Milwaukee-Waukesha-West Allis, WI",414,"614,116",177728,57436,3.12,Normal range,0.03,0.96,0.01
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",775,"1,300,000",230227,72714,3.32,Normal range,0.00,0.97,0.03
33540,"Missoula, MT",19,"45,862",248821,49260,5.21,High,0.00,0.89,0.11
33660,"Mobile, AL",111,"151,758",116826,40888,3.01,Normal range,0.04,0.95,0.02
33700,"Modesto, CA",93,"169,428",206899,50979,4.13,Normal range,0.00,0.96,0.04
33740,"Monroe, LA",45,"65,097",109156,39314,2.84,Normal range,0.11,0.89,0.00
33780,"Monroe, MI",38,"58,516",134774,56596,2.38,Normal range,0.13,0.87,0.00
33860,"Montgomery, AL",93,"143,221",132146,47749,2.89,Normal range,0.06,0.91,0.02
34060,"Morgantown, WV",30,"48,596",156187,49706,3.33,Normal range,0.10,0.87,0.03
34100,"Morristown, TN",21,"44,209",126410,41545,3.11,Normal range,0.00,1.00,0.00
34580,"Mount Vernon-Anacortes, WA",29,"46,108",263786,56669,4.77,High,0.00,0.90,0.10
34620,"Muncie, IN",29,"45,985",76724,37704,2.16,Low,0.55,0.45,0.00
34740,"Muskegon, MI",42,"64,914",94874,43534,2.17,Low,0.26,0.74,0.00
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",103,"172,687",184714,46803,3.89,Normal range,0.02,0.95,0.03
34900,"Napa, CA",39,"49,330",576218,80131,7.23,Very high,0.00,0.44,0.56
34940,"Naples-Immokalee-Marco Island, FL",73,"133,331",380940,64825,5.4,High,0.00,0.75,0.25
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",371,"673,826",208734,61289,3.45,Normal range,0.00,0.98,0.02
35100,"New Bern, NC",26,"48,504",148750,46989,3.35,Normal range,0.00,0.96,0.04
35300,"New Haven-Milford, CT",184,"320,440",235243,67310,3.7,Normal range,0.00,0.95,0.05
